datetime,open,high,low,close,volume
2022-01-16 04:00:00,3312.44,3321.78,3305.11,3305.11,33505.025
2022-01-16 06:00:00,3305.12,3338.36,3303.21,3330.81,50343.484
2022-01-16 08:00:00,3330.69,3336.0,3307.52,3318.13,56310.899
2022-01-16 10:00:00,3318.12,3332.65,3283.64,3310.4,98493.958
2022-01-16 12:00:00,3310.41,3344.65,3269.01,3338.73,177604.492
2022-01-16 14:00:00,3338.74,3362.3,3326.76,3351.87,133796.212
2022-01-16 16:00:00,3351.92,3394.62,3343.17,3344.68,113723.889
2022-01-16 18:00:00,3344.68,3352.94,3311.17,3319.25,67617.563
2022-01-16 20:00:00,3319.24,3335.42,3308.47,3328.1,51588.347
2022-01-16 22:00:00,3328.11,3361.02,3326.47,3345.49,53870.691
2022-01-17 00:00:00,3345.5,3355.3,3312.0,3317.89,83604.717
2022-01-17 02:00:00,3317.89,3328.01,3252.0,3256.05,131634.345
2022-01-17 04:00:00,3256.06,3272.42,3235.11,3264.3,140512.383
2022-01-17 06:00:00,3264.3,3298.36,3261.55,3269.87,91147.839
2022-01-17 08:00:00,3269.87,3280.51,3249.85,3271.41,106296.856
2022-01-17 10:00:00,3271.42,3277.0,3252.32,3254.32,82208.419
2022-01-17 12:00:00,3254.32,3278.48,3232.0,3266.02,131362.392
2022-01-17 14:00:00,3266.02,3273.6,3215.0,3235.35,136784.416
2022-01-17 16:00:00,3235.41,3245.0,3191.0,3205.87,189307.179
2022-01-17 18:00:00,3205.88,3224.3,3179.19,3217.14,111609.468
2022-01-17 20:00:00,3217.22,3223.91,3150.01,3164.16,104698.842
2022-01-17 22:00:00,3164.08,3219.56,3139.37,3208.61,130972.078
2022-01-18 00:00:00,3208.6,3243.95,3204.0,3222.18,105261.435
